group_id	ec_number	activity	gene_symbol	uniprot_accession	structural_cluster
HNISE01	1.3.1.20	carbonyl reductase activity	DHDH	Q9UQ10	1
HNISE01	1.3.1.20	carbonyl reductase activity	AKR1C2	P52895	2
HNISE01	1.3.1.20	carbonyl reductase activity	AKR1C1	Q04828	2
HNISE02	1.15.1.1	superoxide dismutase activity	SOD2	P04179	1
HNISE02	1.15.1.1	superoxide dismutase activity	SOD1	P00441	2
HNISE02	1.15.1.1	superoxide dismutase activity	SOD3	P08294	2
HNISE03	2.4.1.22	lactose synthase / beta-1,4-galactosyltransferase activity	B4GALT2	O60909	1
HNISE03	2.4.1.22	lactose synthase / beta-1,4-galactosyltransferase activity	B4GALT1	P15291	1
HNISE03	2.4.1.22	lactose synthase / beta-1,4-galactosyltransferase activity	LALBA	P00709	2
HNISE04	2.4.2.31	NAD+-protein ADP-ribosyltransferase activity	SIRT6	Q8N6T7	1
HNISE04	2.4.2.31	NAD+-protein ADP-ribosyltransferase activity	ART1	P52961	2
HNISE04	2.4.2.31	NAD+-protein ADP-ribosyltransferase activity	ART3	Q13508	2
HNISE04	2.4.2.31	NAD+-protein ADP-ribosyltransferase activity	ART4	Q93070	2
HNISE04	2.4.2.31	NAD+-protein ADP-ribosyltransferase activity	ART5	Q96L15	2
HNISE05	2.7.1.67	phosphatidylinositol 4-kinase activity	PI4KA	P42356	1
HNISE05	2.7.1.67	phosphatidylinositol 4-kinase activity	PI4KB	Q9UBF8	1
HNISE05	2.7.1.67	phosphatidylinositol 4-kinase activity	PI4K2A	Q9BTU6	2
HNISE05	2.7.1.67	phosphatidylinositol 4-kinase activity	PI4K2B	Q8TCG2	2
HNISE06	2.7.4.21	inositol polyphosphate kinase activity	PPIP5K2	O43314	1
HNISE06	2.7.4.21	inositol polyphosphate kinase activity	PPIP5K1	Q6PFW1	1
HNISE06	2.7.4.21	inositol polyphosphate kinase activity	IP6K1	Q92551	2
HNISE06	2.7.4.21	inositol polyphosphate kinase activity	IP6K3	Q96PC2	2
HNISE06	2.7.4.21	inositol polyphosphate kinase activity	IP6K2	Q9UHH9	2
HNISE07	3.1.1.3	triacylglycerol lipase activity	AADAC	P22760	3
HNISE07	3.1.1.3	triacylglycerol lipase activity	CEL	B4DSX9	3
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPC	P11150	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIP	P16233	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP1	P54315	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP3	Q17RR3	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPG	Q9Y5X9	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP2	P54317	4
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPF	P07098	9
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNPLA3	Q9NST1	10
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	PTRH2	Q9Y3E5	1
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	PTRH1	Q86Y79	2
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	ICT1	Q14197	3
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	ACOT2	P49753	1
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	BAAT	Q14032	1
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	ACOT1	Q86TX2	1
